Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:57, 2017-05-16 15:03:57,-87,1, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:16, 2017-05-16 15:04:34,-83,5, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:30, 2017-05-16 15:04:07,-89,10, 00:26:99:22:22:22,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:18, 2017-05-16 15:04:39,-83,11, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:25, 2017-05-16 15:03:25,-65,1, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:05, 2017-05-16 15:05:10,-87,3, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:34, 2017-05-16 15:04:43,-67,2, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:20, 2017-05-16 15:05:11,-64,191, 00:26:99:22:22:22,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:34, 2017-05-16 15:04:34,-1,1, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:53, 2017-05-16 15:04:53,-1,4, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:33, 2017-05-16 15:04:33,-86,2, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:38, 2017-05-16 15:03:39,-84,4, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:16, 2017-05-16 15:04:47,-89,10, 00:26:99:22:22:22,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:29, 2017-05-16 15:05:10,-81,7, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:52, 2017-05-16 15:04:41,-80,18, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:24, 2017-05-16 15:04:24,-75,17, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:16, 2017-05-16 15:05:17,-69,226, 00:26:99:22:22:22,eduroam,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:03:53, 2017-05-16 15:05:06,-84,6, 00:26:99:22:22:22,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:38, 2017-05-16 15:04:39,-82,13, 00:26:99:22:22:22,eduroam,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:16, 2017-05-16 15:04:16,-77,1, (not associated) ,TUDWeb,,,,,,,,,
11:11:11:11:11:11, 2017-05-16 15:04:16, 2017-05-16 15:04:16,-83,1, (not associated) ,,,,,,,,,,
