0 correct,1 correct,2 correct
937,62,1
897,102,1
696,287,17
246,600,154
42,525,433
6,364,630
3,280,717
4,262,734
2,258,740
1,260,739
2,271,727
6,237,757
10,292,698
4,253,743
5,247,748
4,243,753
7,269,724
