0.13638+0.081211i
-0.26897+0.086309i
-0.46766+0.0082611i
-0.36913-0.16586i
-0.047572-0.27727i
0.31934-0.19524i
0.50407-0.044671i
0.42229+0.0074646i
0.32484+3.8155e-13i
0.42212+0.0069142i
0.50407-0.044671i
0.32533-0.18782i
-0.047572-0.27727i
-0.39768-0.19868i
-0.46766+0.0082611i
-0.17349+0.2033i
0.16242+0.16242i
0.2033-0.17349i
0.0082611-0.46766i
-0.19868-0.39768i
-0.27727-0.047572i
-0.18782+0.32533i
-0.044671+0.50407i
0.0069142+0.42212i
3.677e-13+0.32484i
0.0069142+0.42212i
-0.044671+0.50407i
-0.18782+0.32533i
-0.27727-0.047572i
-0.19868-0.39768i
0.0082611-0.46766i
0.2033-0.17349i
0.16242+0.16242i
-0.17349+0.2033i
-0.46766+0.0082611i
-0.39768-0.19868i
-0.047572-0.27727i
0.32533-0.18782i
0.50407-0.044671i
0.42212+0.0069142i
0.32484+3.677e-13i
0.42212+0.0069142i
0.50407-0.044671i
0.32533-0.18782i
-0.047572-0.27727i
-0.39768-0.19868i
-0.46766+0.0082611i
-0.17349+0.2033i
0.16242+0.16242i
0.2033-0.17349i
0.0082611-0.46766i
-0.19868-0.39768i
-0.27727-0.047572i
-0.18782+0.32533i
-0.044671+0.50407i
0.0069142+0.42212i
3.677e-13+0.32484i
0.0069142+0.42212i
-0.044671+0.50407i
-0.18782+0.32533i
-0.27727-0.047572i
-0.19868-0.39768i
0.0082611-0.46766i
0.2033-0.17349i
0.16242+0.16242i
-0.17349+0.2033i
-0.46766+0.0082611i
-0.39768-0.19868i
-0.047572-0.27727i
0.32533-0.18782i
0.50407-0.044671i
0.42212+0.0069142i
0.32484+3.677e-13i
0.42212+0.0069142i
0.50407-0.044671i
0.32533-0.18782i
-0.047572-0.27727i
-0.39768-0.19868i
-0.46766+0.0082611i
-0.17349+0.2033i
0.16242+0.16242i
0.2033-0.17349i
0.0082611-0.46766i
-0.19868-0.39768i
-0.27727-0.047572i
-0.18782+0.32533i
-0.044671+0.50407i
0.0069142+0.42212i
3.677e-13+0.32484i
0.0069142+0.42212i
-0.044671+0.50407i
-0.18782+0.32533i
-0.27727-0.047572i
-0.19868-0.39768i
0.0082611-0.46766i
0.2033-0.17349i
0.16242+0.16242i
-0.17349+0.2033i
-0.46766+0.0082611i
-0.39768-0.19868i
-0.047572-0.27727i
0.32533-0.18782i
0.50407-0.044671i
0.42212+0.0069142i
0.32484+3.677e-13i
0.42212+0.0069142i
0.50407-0.044671i
0.32533-0.18782i
-0.047572-0.27727i
-0.39768-0.19868i
-0.46766+0.0082611i
-0.17349+0.2033i
0.16242+0.16242i
0.2033-0.17349i
0.0082611-0.46766i
-0.19868-0.39768i
-0.27727-0.047572i
-0.18782+0.32533i
-0.044671+0.50407i
0.0069142+0.42212i
3.677e-13+0.32484i
0.0069142+0.42212i
-0.044671+0.50407i
-0.18782+0.32533i
-0.27727-0.047572i
-0.19868-0.39768i
0.0082611-0.46766i
0.2033-0.17349i
0.16242+0.16242i
-0.17349+0.2033i
-0.46766+0.0082611i
-0.39768-0.19868i
-0.047572-0.27727i
0.32533-0.18782i
0.50407-0.044671i
0.42212+0.0069142i
0.32484+3.677e-13i
0.42212+0.0069142i
0.50407-0.044671i
0.32533-0.18782i
-0.047572-0.27727i
