-0.27909+0.074313i
-0.40359+0.078979i
-0.42794+0.0075595i
-0.30656-0.15177i
-0.043532-0.25372i
0.28175-0.17865i
0.46126-0.040877i
0.38916+0.0068306i
0.29725+3.4914e-13i
0.38627+0.0063269i
0.46126-0.040877i
0.2977-0.17186i
-0.043532-0.25372i
-0.36391-0.1818i
-0.42794+0.0075595i
-0.15875+0.18604i
0.14863+0.14863i
0.18604-0.15875i
0.0075595-0.42794i
-0.1818-0.36391i
-0.25372-0.043532i
-0.17186+0.2977i
-0.040877+0.46126i
0.0063269+0.38627i
3.3647e-13+0.29725i
0.0063269+0.38627i
-0.040877+0.46126i
-0.17186+0.2977i
-0.25372-0.043532i
-0.1818-0.36391i
0.0075595-0.42794i
0.18604-0.15875i
0.14863+0.14863i
-0.15875+0.18604i
-0.42794+0.0075595i
-0.36391-0.1818i
-0.043532-0.25372i
0.2977-0.17186i
0.46126-0.040877i
0.38627+0.0063269i
0.29725+3.3647e-13i
0.38627+0.0063269i
0.46126-0.040877i
0.2977-0.17186i
-0.043532-0.25372i
-0.36391-0.1818i
-0.42794+0.0075595i
-0.15875+0.18604i
0.14863+0.14863i
0.18604-0.15875i
0.0075595-0.42794i
-0.1818-0.36391i
-0.25372-0.043532i
-0.17186+0.2977i
-0.040877+0.46126i
0.0063269+0.38627i
3.3647e-13+0.29725i
0.0063269+0.38627i
-0.040877+0.46126i
-0.17186+0.2977i
-0.25372-0.043532i
-0.1818-0.36391i
0.0075595-0.42794i
0.18604-0.15875i
0.14863+0.14863i
-0.15875+0.18604i
-0.42794+0.0075595i
-0.36391-0.1818i
-0.043532-0.25372i
0.2977-0.17186i
0.46126-0.040877i
0.38627+0.0063269i
0.29725+3.3647e-13i
0.38627+0.0063269i
0.46126-0.040877i
0.2977-0.17186i
-0.043532-0.25372i
-0.36391-0.1818i
-0.42794+0.0075595i
-0.15875+0.18604i
0.14863+0.14863i
0.18604-0.15875i
0.0075595-0.42794i
-0.1818-0.36391i
-0.25372-0.043532i
-0.17186+0.2977i
-0.040877+0.46126i
0.0063269+0.38627i
3.3647e-13+0.29725i
0.0063269+0.38627i
-0.040877+0.46126i
-0.17186+0.2977i
-0.25372-0.043532i
-0.1818-0.36391i
0.0075595-0.42794i
0.18604-0.15875i
0.14863+0.14863i
-0.15875+0.18604i
-0.42794+0.0075595i
-0.36391-0.1818i
-0.043532-0.25372i
0.2977-0.17186i
0.46126-0.040877i
0.38627+0.0063269i
0.29725+3.3647e-13i
0.38627+0.0063269i
0.46126-0.040877i
0.2977-0.17186i
-0.043532-0.25372i
-0.36391-0.1818i
-0.42794+0.0075595i
-0.15875+0.18604i
0.14863+0.14863i
0.18604-0.15875i
0.0075595-0.42794i
-0.1818-0.36391i
-0.25372-0.043532i
-0.17186+0.2977i
-0.040877+0.46126i
0.0063269+0.38627i
3.3647e-13+0.29725i
0.0063269+0.38627i
-0.040877+0.46126i
-0.17186+0.2977i
-0.25372-0.043532i
-0.1818-0.36391i
0.0075595-0.42794i
0.18604-0.15875i
0.14863+0.14863i
-0.15875+0.18604i
-0.42794+0.0075595i
-0.36391-0.1818i
-0.043532-0.25372i
0.2977-0.17186i
0.46126-0.040877i
0.38627+0.0063269i
0.29725+3.3647e-13i
0.38627+0.0063269i
0.46126-0.040877i
0.2977-0.17186i
-0.043532-0.25372i
-0.36391-0.1818i
-0.42794+0.0075595i
-0.15875+0.18604i
0.14863+0.14863i
0.18604-0.15875i
0.0075595-0.42794i
-0.1818-0.36391i
-0.25372-0.043532i
-0.17186+0.2977i
-0.040877+0.46126i
0.0063269+0.38627i
3.3647e-13+0.29725i
0.0063269+0.38627i
-0.040877+0.46126i
-0.17186+0.2977i
-0.25372-0.043532i
-0.1818-0.36391i
0.0075595-0.42794i
0.18604-0.15875i
0.14863+0.14863i
-0.15875+0.18604i
-0.42794+0.0075595i
-0.36391-0.1818i
-0.043532-0.25372i
0.2977-0.17186i
0.46126-0.040877i
0.38627+0.0063269i
0.29725+3.3647e-13i
0.38627+0.0063269i
0.46126-0.040877i
0.2977-0.17186i
-0.043532-0.25372i
-0.36391-0.1818i
-0.42794+0.0075595i
-0.15875+0.18604i
0.14863+0.14863i
0.18604-0.15875i
0.0075595-0.42794i
-0.1818-0.36391i
-0.25372-0.043532i
-0.17186+0.2977i
-0.040877+0.46126i
0.0063269+0.38627i
3.3647e-13+0.29725i
0.0063269+0.38627i
-0.040877+0.46126i
-0.17186+0.2977i
-0.25372-0.043532i
-0.1818-0.36391i
0.0075595-0.42794i
0.18604-0.15875i
0.14863+0.14863i
-0.15875+0.18604i
-0.42794+0.0075595i
-0.36391-0.1818i
-0.043532-0.25372i
0.2977-0.17186i
0.46126-0.040877i
0.38627+0.0063269i
0.29725+3.3647e-13i
0.38627+0.0063269i
0.46126-0.040877i
0.2977-0.17186i
-0.043532-0.25372i
-0.36391-0.1818i
-0.42794+0.0075595i
-0.15875+0.18604i
0.14863+0.14863i
0.18604-0.15875i
0.0075595-0.42794i
-0.1818-0.36391i
-0.25372-0.043532i
-0.17186+0.2977i
-0.040877+0.46126i
0.0063269+0.38627i
3.3647e-13+0.29725i
0.0063269+0.38627i
-0.040877+0.46126i
-0.17186+0.2977i
-0.25372-0.043532i
-0.1818-0.36391i
0.0075595-0.42794i
0.18604-0.15875i
0.14863+0.14863i
-0.15875+0.18604i
-0.42794+0.0075595i
-0.36391-0.1818i
-0.043532-0.25372i
0.2977-0.17186i
0.46126-0.040877i
0.38627+0.0063269i
0.29725+3.3647e-13i
0.38627+0.0063269i
0.46126-0.040877i
0.2977-0.17186i
-0.043532-0.25372i
-0.36391-0.1818i
-0.42794+0.0075595i
-0.15875+0.18604i
0.14863+0.14863i
0.18604-0.15875i
0.0075595-0.42794i
-0.1818-0.36391i
-0.25372-0.043532i
-0.17186+0.2977i
-0.040877+0.46126i
0.0063269+0.38627i
3.3647e-13+0.29725i
0.0063269+0.38627i
-0.040877+0.46126i
-0.17186+0.2977i
-0.25372-0.043532i
-0.1818-0.36391i
0.0075595-0.42794i
0.18604-0.15875i
0.14863+0.14863i
-0.15875+0.18604i
-0.42794+0.0075595i
-0.36391-0.1818i
-0.043532-0.25372i
0.2977-0.17186i
0.46126-0.040877i
0.38627+0.0063269i
0.29725+3.3647e-13i
0.38627+0.0063269i
0.46126-0.040877i
0.2977-0.17186i
-0.043532-0.25372i
-0.36391-0.1818i
-0.42794+0.0075595i
-0.15875+0.18604i
0.14863+0.14863i
0.18604-0.15875i
0.0075595-0.42794i
-0.1818-0.36391i
-0.25372-0.043532i
-0.17186+0.2977i
-0.040877+0.46126i
0.0063269+0.38627i
3.3647e-13+0.29725i
0.0063269+0.38627i
-0.040877+0.46126i
-0.17186+0.2977i
-0.25372-0.043532i
-0.1818-0.36391i
0.0075595-0.42794i
0.18604-0.15875i
0.14863+0.14863i
-0.15875+0.18604i
-0.42794+0.0075595i
-0.36391-0.1818i
-0.043532-0.25372i
0.2977-0.17186i
0.46126-0.040877i
0.38627+0.0063269i
0.29725+3.3647e-13i
0.38627+0.0063269i
0.46126-0.040877i
0.2977-0.17186i
-0.043532-0.25372i
-0.36391-0.1818i
-0.42794+0.0075595i
-0.15875+0.18604i
0.14863+0.14863i
0.18604-0.15875i
0.0075595-0.42794i
-0.1818-0.36391i
-0.25372-0.043532i
