10.423,9.1336,8.8427,8.8008,8.6642,7.4782,7.0376,7.2959
11.255,9.4535,8.4993,7.8081,7.5772,7.1536,7.0774,6.8906
11.635,9.3737,8.5295,7.8033,7.6779,7.3629,7.0312,6.9981
10.424,9.1092,8.894,7.9502,7.6299,7.298,7.1452,6.9978
10.413,9.1186,8.5841,7.9896,8.6537,9.3651,7.531,7.1132
10.345,9.086,8.9098,7.8358,7.5714,7.1546,7.5102,8.3695
10.356,9.133,8.548,7.8123,7.5047,7.0827,7.1095,6.9568
10.437,9.0991,8.5458,7.7749,7.5148,7.6165,8.7943,7.1987
10.482,9.0326,8.5616,7.6576,7.4605,7.1636,6.9456,6.9915
11.633,9.069,8.4267,7.929,7.5372,7.1415,7.0903,6.9155
