0 correct,1 correct,2 correct
9,1,0
9,1,0
8,2,0
9,1,0
10,0,0
8,2,0
4,5,1
6,4,0
6,4,0
7,3,0
6,4,0
5,5,0
4,5,1
5,4,1
4,6,0
4,5,1
5,2,3
3,6,1
4,3,3
3,5,2
4,4,2
3,6,1
2,7,1
3,6,1
5,5,0
6,4,0
1,7,2
3,5,2
5,4,1
2,7,1
5,4,1
2,4,4
4,4,2
6,3,1
5,5,0
3,7,0
4,4,2
3,7,0
2,5,3
4,5,1
5,5,0
